Timing Analysis: wokwi-logic.vcd
Total measurements: 4680

Time(s)    RPM   Delay(μs)  Delay(°)  Advance(°)  Mode
 14.39   1987    3208.6     38.2       8.8  SAME
 14.40   1987    2948.7     35.1      11.9  SAME
 14.42   1987    3197.1     38.1       8.9  SAME
 14.43   1987    3202.7     38.2       8.8  SAME
 14.45   1987    2948.3     35.1      11.9  SAME
 14.46   1987    3212.0     38.3       8.7  SAME
 14.48   1987    2948.2     35.1      11.9  SAME
 14.49   1987    3200.6     38.2       8.8  SAME
 14.51   1987    2948.1     35.1      11.9  SAME
 14.52   1987    3210.3     38.3       8.7  SAME
 14.54   1987    2948.4     35.1      11.9  SAME
 14.55   1987    3199.6     38.1       8.9  SAME
 14.57   1987    2948.1     35.1      11.9  SAME
 14.58   1987    3208.6     38.2       8.8  SAME
 14.60   1987    2948.6     35.1      11.9  SAME
 14.61   1987    3197.7     38.1       8.9  SAME
 14.63   1987    3203.6     38.2       8.8  SAME
 14.64   1987    2947.1     35.1      11.9  SAME
 14.66   1987    3207.7     38.2       8.8  SAME
 14.67   1987    2948.1     35.1      11.9  SAME
 14.69   1987    3202.6     38.2       8.8  SAME
 14.70   1987    2948.4     35.1      11.9  SAME
 14.72   1987    3205.8     38.2       8.8  SAME
 14.73   1987    2948.1     35.1      11.9  SAME
 14.75   1987    3215.2     38.3       8.7  SAME
 14.76   1987    2948.6     35.1      11.9  SAME
 14.78   1987    3204.6     38.2       8.8  SAME
 14.79   1987    2948.1     35.1      11.9  SAME
 14.81   1987    3213.7     38.3       8.7  SAME
 14.82   1987    3198.7     38.1       8.9  SAME
 14.84   1987    2948.1     35.1      11.9  SAME
